Mon Nov 19 21:21:16 2018	Helsinki	KCR.HE	2299281664	30EUR	30EUR	29.17EUR	-1.0EUR(-2.77%)
Mon Nov 19 21:21:16 2018	Helsinki	METSA.HE	2476094464	7.78EUR	7.82EUR	7.8EUR	0.0EUR(0.26%)
Mon Nov 19 21:21:17 2018	Helsinki	CAPMAN.HE	235345616	1.6EUR	1.602EUR	1.6EUR	0.0EUR(0.0%)
Mon Nov 19 21:21:17 2018	Helsinki	ROBIT.HE	59213232	2.87EUR	2.89EUR	2.82EUR	-0.0EUR(-1.74%)
Mon Nov 19 21:21:17 2018	Helsinki	ALTIA.HE	278281856	7.7EUR	7.7EUR	7.7EUR	0.0EUR(0.0%)
Mon Nov 19 21:21:17 2018	Helsinki	TEM1V.HE	7014321	0.0618EUR	0.0616EUR	0.0572EUR	-0.0EUR(-7.44%)
Mon Nov 19 21:21:17 2018	Helsinki	SOSI1.HE	50927172	0.39EUR	0.39EUR	0.3865EUR	-0.0EUR(-0.9%)
Mon Nov 19 21:21:17 2018	Helsinki	PNA1V.HE	52663824	1EUR	0.982EUR	1.01EUR	0.0EUR(1.0%)
Mon Nov 19 21:21:24 2018	Helsinki	CAV1V.HE	732542400	5.325EUR	5.36EUR	5.4EUR	0.0EUR(1.41%)
Mon Nov 19 21:21:24 2018	Helsinki	ROVIO.HE	395390016	5.05EUR	5.08EUR	5EUR	-0.0EUR(-0.99%)
Mon Nov 19 21:21:24 2018	Helsinki	OKDBV.HE	449350080	2.485EUR	2.48EUR	2.485EUR	0.0EUR(0.0%)
Mon Nov 19 21:21:24 2018	Helsinki	TIETO.HE	1920962944	26.58EUR	26.46EUR	26.02EUR	-1.0EUR(-2.11%)
Mon Nov 19 21:21:24 2018	Helsinki	SRV1V.HE	128099152	2.29EUR	2.29EUR	2.15EUR	-0.0EUR(-6.11%)
Mon Nov 19 21:21:24 2018	Helsinki	AM1.HE	1243193600	12.78EUR	12.9EUR	12.94EUR	0.0EUR(1.25%)
Mon Nov 19 21:21:25 2018	Helsinki	PON1V.HE	770488064	27.6EUR	27.65EUR	27.55EUR	-0.0EUR(-0.18%)
Mon Nov 19 21:21:25 2018	Helsinki	VAIAS.HE	597694720	16.4EUR	16.85EUR	16.7EUR	0.0EUR(1.83%)
Mon Nov 19 21:21:25 2018	Helsinki	HARVIA.HE	100948680	5.502EUR	5.501EUR	5.4EUR	-0.0EUR(-1.85%)
Mon Nov 19 21:21:25 2018	Helsinki	ELEAV.HE	36918984	9.6EUR	9.6EUR	9.85EUR	0.0EUR(2.6%)
Mon Nov 19 21:21:25 2018	Helsinki	METSB.HE	2444526848	6.855EUR	6.92EUR	6.785EUR	-0.0EUR(-1.02%)
Mon Nov 19 21:21:25 2018	Helsinki	KELAS.HE	14629707	4.4EUR	4.4EUR	4.34EUR	-0.0EUR(-1.36%)
Mon Nov 19 21:21:32 2018	Helsinki	ENDOM.HE	21362078	0.61EUR	0.62EUR	0.61EUR	0.0EUR(0.0%)
Mon Nov 19 21:21:32 2018	Helsinki	SAA1V.HE	1552787584	9.695EUR	9.69EUR	9.54EUR	-0.0EUR(-1.6%)
Mon Nov 19 21:21:32 2018	Helsinki	VALMT.HE	3010314240	20.3EUR	20.14EUR	20.12EUR	-0.0EUR(-0.89%)
Mon Nov 19 21:21:32 2018	Helsinki	OLVAS.HE	609085696	29EUR	29EUR	29.4EUR	0.0EUR(1.38%)
Mon Nov 19 21:21:33 2018	Helsinki	CGCBV.HE	2328038400	36.16EUR	36.26EUR	36.1EUR	-0.0EUR(-0.17%)
